Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,Tip,Domeniu cercetare,Unnamed: 10,Link,Highlight
"Negru, Vlad-Andrei; Suciu, Vasile; Lăpuşan, Alex-Mihai; Lemnaru, Camelia; Dînşoreanu, Mihaela; Potolea, Rodica; ",Assessing language models’ task and language transfer capabilities for sentiment analysis in dialog data,Computer Speech & Language,89.0,,101704,2025,Elsevier,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,,https://www.sciencedirect.com/science/article/pii/S0885230824000871,
"Tolas, Ramona; Portase, Raluca; Potolea, Rodica; ",From Individual Device Usage to Household Energy Consumption Profiling,Electronics,13.0,12.0,2325,2024,MDPI,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://www.mdpi.com/2079-9292/13/12/2325,
"Portase, Raluca Laura; Tolas, Ramona; Potolea, Rodica; ",From Sensors to Insights: An Original Method for Consumer Behavior Identification in Appliance Usage,Electronics,13.0,7.0,1364,2024,MDPI,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://www.mdpi.com/2079-9292/13/7/1364,1.0
"Tolas, Ramona; Portase, Raluca; Potolea, Rodica; ",GeMSyD: Generic Framework for Synthetic Data Generation,Data,9.0,1.0,14,2024,MDPI,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://www.mdpi.com/2306-5729/9/1/14,
"Toma, Sebastian-Antonio; Lemnaru, Camelia; Negru, Vlad Andrei; Potolea, Rodica; ","Asking the Right Questions: Exploiting Hidden Interactions in a Generative Framework for Multilingual, Multitask Classification",Proceedings of the 7th International Conference on Natural Language and Speech Processing (ICNLSP 2024),,,251-266,2024,,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,,https://aclanthology.org/2024.icnlsp-1.28.pdf,
"Portase, Radu Marian; Portase, Raluca Laura; Colesa, Adrian; Sebestyen, Gheorghe; ",LEDA - Layered Event-Based Malware Detection Architecture,Sensors,24.0,19.0,6393,2024,MDPI,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://www.mdpi.com/1424-8220/24/19/6393,
"Vacareanu, Robert; Negru, Vlad-Andrei; Suciu, Vasile; Surdeanu, Mihai; ",From Words to Numbers: Your Large Language Model Is Secretly A Capable Regressor When Given In-Context Examples,arXiv preprint arXiv:2404.07544,,,,2024,,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,,https://arxiv.org/abs/2404.07544,
"Portase, Raluca Laura; Tolas, Ramona; Potolea, Rodica; ",SmartLaundry: A Real-Time System for Public Laundry Allocation in Smart Cities,Sensors,24.0,7.0,2159,2024,MDPI,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://www.mdpi.com/1424-8220/24/7/2159,1.0
"Ardelean, Eugen-Richard; Dînșoreanu, Mihaela; ",Computational Methods for Brain Signal Analysis during Perception and Action,PhD Thesis,,,,2024,UTPRESS,A-Teza doctorat,INTELIGENŢĂ ARTIFICIALĂ,,https://biblioteca.utcluj.ro/files/carti-online-cu-coperta/718-7.pdf,
"Ardelean, Eugen-Richard; Portase, Raluca Laura; Potolea, Rodica; Dînșoreanu, Mihaela; ",A path-based distance computation for non-convexity with applications in clustering,Knowledge and Information Systems,,,Jan-39,2024,Springer London London,C1-Revista ISI,INTELIGENŢĂ ARTIFICIALĂ,,https://link.springer.com/article/10.1007/s10115-024-02275-4,1.0
"Tolas, Ramona; Portase, Raluca; Potolea, Rodica; ",Advancements in Household Data Mining: Fine-Tuning of Usage Pattern Inference Pipeline.,IoTBDS,,,53-61,2024,,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://www.scitepress.org/Link.aspx?doi=10.5220/0012598000003705,
"Negru, Vlad-Andrei; Vacareanu, Robert; Lemnaru, Camelia; Surdeanu, Mihai; Potolea, Rodica; ",From Text to Taste: Advancing Smart Appliances with Multilingual Recipe Interpretation,2024 IEEE 40th International Conference on Data Engineering Workshops (ICDEW),,,13-20,2024,IEEE,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,,https://ieeexplore.ieee.org/document/10555101,1.0
"Tolas, Ramona; Portase, Raluca; Dinsoreanu, Mihaela; Potolea, Rodica",Mining User Behavior: Inference of Time-boxed Usage Patterns from Household Generated Data,eKNOW 2023,,,,2023,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,,
"Negru, Vlad-Andrei; Lemnaru, Camelia; Potolea, Rodica; ","Multitask, Cross-Lingual Recipe Classification Using Joint Fine-Tuning Mechanisms",International Conference on Information Integration and Web Intelligence,,,547-552,2023,Springer,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,,https://link.springer.com/chapter/10.1007/978-3-031-48316-5_48,1.0
"Macicasan, F.; Frasie, A.;Vezan, N.T.; Lemnaru, C.; Potolea, R.;",Evolving a Pipeline Approach for Abstract Meaning Representation Parsing Towards Dynamic Neural Networks,,,,,2023,International Journal of Neural Systems,C1-Revista ISI,INGINERIA CUNOSTINTELOR,,https://www.worldscientific.com/doi/10.1142/S0129065723500405?rfr_dat=cr_pub++0pubmed&rfr_id=ori%3Arid%3Acrossref.org&url_ver=Z39.88-2003,
"Portase, Raluca; Tolas, Ramona; Lemnaru, Camelia; Potolea, Rodica; ",Prediction Pipeline on Time Series Data Applied for Usage Prediction on Household Devices,"eKNOW 2023 : The Fifteenth International Conference on Information, Process, and Knowledge Management",,,44-49,2023,,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://personales.upv.es/thinkmind/dl/conferences/eknow/eknow_2023/eknow_2023_2_50_60023.pdf,
"Ardelean, Adriana-Ioana; Ardelean, Eugen-Richard; Moca, Vasile Vlad; Mureşan, Raul Cristian; Dînşoreanu, Mihaela; ",Burst detection in neuronal activity,2023 IEEE 19th International Conference on Intelligent Computer Communication and Processing (ICCP),,,349-356,2023,IEEE,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,,https://ieeexplore.ieee.org/document/10398703,
"Ardelean, Eugen-Richard; Coporîie, Andreea; Ichim, Ana-Maria; Dînșoreanu, Mihaela; Mureșan, Raul Cristian; ",A study of autoencoders as a feature extraction technique for spike sorting,Plos one,18.0,3.0,e0282810,2023,"Public Library of Science San Francisco, CA USA",C1-Revista ISI,INTELIGENŢĂ ARTIFICIALĂ,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0282810,1.0
"Rus, Iulia-Maria; Portase, Raluca; Tolas, Ramona; Lemnaru, Camelia; Dinsoreanu, Mihaela; Potolea, Rodica; ",Extracting Appliance Behavior from Heterogeneous Data,2023 IEEE 19th International Conference on Intelligent Computer Communication and Processing (ICCP),,,87-92,2023,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/document/10398620,
"Ardelean, Eugen-Richard; Bârzan, Harald; Ichim, Ana-Maria; Mureşan, Raul Cristian; Moca, Vasile Vlad; ",Sharp detection of oscillation packets in rich time-frequency representations of neural signals,Frontiers in Human Neuroscience,17.0,,1112415,2023,Frontiers Media SA,C1-Revista ISI,INTELIGENŢĂ ARTIFICIALĂ,,https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2023.1112415/full,
"Ardelean, Eugen-Richard; Grosu, George Florin; Terebeş, Romulus; Dînşoreanu, Mihaela; ",Exploiting the Self-Organizing Map for Spike Sorting,2023 IEEE 19th International Conference on Intelligent Computer Communication and Processing (ICCP),,,363-369,2023,IEEE,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,,https://ieeexplore.ieee.org/document/10398692,
"Ardelean, Eugen-Richard; Terec, Răzvan-Dan; Marieş, Codruţa-Maria; Moca, Vasile Vlad; Mureşan, Raul Cristian; Dînşoreanu, Mihaela; ",Spike sorting using Superlets: Identifying feature importance through perturbation,2023 IEEE 19th International Conference on Intelligent Computer Communication and Processing (ICCP),,,357-362,2023,IEEE,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,,https://ieeexplore.ieee.org/document/10398655,
"Moisa, Oana Miruna; Pop, Ileana; Ardelean, Eugen-Richard; Moca, Vasile Vlad; Mureşan, Raul Cristian; Dînşoreanu, Mihaela; ",Symbolic Analysis Based Pipeline for EEG Data,2023 IEEE 19th International Conference on Intelligent Computer Communication and Processing (ICCP),,,371-378,2023,IEEE,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,,https://ieeexplore.ieee.org/document/10398607,
"Tolas, Ramona; Portase, Raluca; Lemnaru, Camelia; Dinsoreanu, Mihaela; Potolea, Rodica; ",Unsupervised Clustering and Explainable AI for Unveiling Behavioral Variations Across Time in Home-Appliance Generated Data,International Conference on Information Integration and Web Intelligence,,,147-161,2023,Springer Nature Switzerland Cham,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://link.springer.com/chapter/10.1007/978-3-031-48316-5_17,
Ioan Stan; Rodica Potolea ,Urban Congestion Avoidance Methodology based on Vehicular Traffic Thresholding,,,,,2023,"Aplied Sciences, Jurnal ",C1-Revista ISI,INGINERIA CUNOSTINTELOR,,https://www.mdpi.com/2076-3417/13/4/2143,
"Ardelean, Eugen-Richard; Ichim, Ana-Maria; Dînşoreanu, Mihaela; Mureşan, Raul Cristian; ",Improved space breakdown method–A robust clustering technique for spike sorting,Frontiers in Computational Neuroscience,17.0,,1019637,2023,Frontiers Media SA,C1-Revista ISI,INTELIGENŢĂ ARTIFICIALĂ,,https://www.frontiersin.org/journals/computational-neuroscience/articles/10.3389/fncom.2023.1019637/full,1.0
"Radu, Cosmina; Staicu, Carla-Elena; Mitrică, Livia-Maria; Dînşoreanu, Mihaela; Potolea, Rodica; Lemnaru, Camelia; ",Extracting Settings from Multilingual Recipes with Various Sequence Tagging Models: an Experimental Study,2022 IEEE 18th International Conference on Intelligent Computer Communication and Processing (ICCP),,,65-72,2022,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/10053968,
"Rad, Andrei-Cristian; Lemnaru, Camelia; Munteanu, Adrian; ",A Comparative Analysis between Efficient Attention Mechanisms for Traffic Forecasting without Structural Priors,Sensors,22.0,19.0,7457,2022,MDPI,C1-Revista ISI,INGINERIA CUNOSTINTELOR,,https://www.mdpi.com/1424-8220/22/19/7457,
"Lăpuşan, Alex-Mihai; Horge, Rareş-Liviu; Petres, Sara; Dînşoreanu, Mihaela; Potolea, Rodica; Lemnaru, Camelia; ",Instructions Are All You Need: Cooking Parameters Classification for Monolingual Recipes,2022 IEEE 18th International Conference on Intelligent Computer Communication and Processing (ICCP),,,73-80,2022,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/10053948,
